"bnavn1";"tliten";"tstor, vegnummer";"lat";"lon";"harAp";"apBeskr";"kommunenr";"bomstasjonId";"aadtTotal";"aadtLGV";"aadtYear";"aadtId"
"Buvika";"20.0";"40.0";"Ev39";"63.31115";"10.19489";"Ja";"AutoPASS + automatisk";"1657";"264832261";"10020";"12";"2013";"84802921"
"Strandheim";"20.0";"40.0";"Ev39";"63.32629";"9.89897";"Ja";"AutoPASS + automatisk";"1657";"119353048";"7680";"13";"2013";"157084382"
"Strandheim";"20.0";"40.0";"Ev39";"63.32629";"9.89897";"Ja";"AutoPASS + automatisk";"1657";"119353048";"7680";"13";"2013";"157084382"
"HODNAFJELL";"12.0";"24.0";"Ev134";"59.46161";"5.48178";"Ja";"AutoPASS + automatisk";"1146";"264392510";"-9999";"-9999";"-9999";"-9999"
"TOSKATJØRN";"12.0";"24.0";"Ev134";"59.41025";"5.34339";"Ja";"AutoPASS + automatisk";"1106";"264392512";"17000";"10";"2013";"79293108"
"NORHEIM";"12.0";"24.0";"Ev134";"59.37697";"5.30327";"Ja";"AutoPASS + automatisk";"1149";"264392518";"21000";"8";"2013";"79293476"
"Åkrafjorden";"40.0";"80.0";"Ev134";"59.85005";"6.34957";"Ja";"Har autopass";"1211";"82666851";"1600";"20";"2013";"81877766"
"";"";"";"Ea6";"60.55447";"11.25050";"Ja";"Har autopass";"0417";"522556498";"-9999";"-9999";"-9999";"-9999"
"RV4 Trondheimsveien";"31.0";"93.0";"Rv4";"59.94787";"10.85250";"Ja";"AutoPASS + automatisk";"0301";"86574497";"32400";"7";"2013";"86338479"
"Brekkebygda";"70.0";"175.0";"Rv7";"60.28603";"9.74950";"Ja";"AutoPASS + automatisk";"0605";"518838766";"-9999";"-9999";"-9999";"-9999"
"Grim";"14.0";"28.0";"Rv9";"58.14741";"7.98255";"Ja";"AutoPASS + automatisk";"1001";"86227565";"11200";"11";"2013";"85800876"
"Hardangerbrua";"150.0";"600.0";"Rv13";"60.47291";"6.83715";"Ja";"AutoPASS + automatisk";"1231";"444022242";"1750";"13";"2013";"459933165"
"Rv13 SVELGANE";"43.0";"86.0";"Rv13";"60.58787";"6.60547";"Ja";"AutoPASS + automatisk";"1235";"271705785";"2400";"15";"2013";"81877718"
"Skoppum";"33.0";"66.0";"Rv19";"59.37738";"10.39388";"Ja";"AutoPASS + automatisk";"0701";"267888917";"7400";"16";"2013";"240038350"
"Skoppum";"33.0";"66.0";"Rv19";"59.37738";"10.39388";"Ja";"AutoPASS + automatisk";"0701";"267888917";"7400";"16";"2013";"240038350"
"Oslofjordtunnelen";"50.0";"125.0";"Rv23";"59.69258";"10.65715";"Ja";"AutoPASS + automatisk";"0215";"83873802";"7155";"9";"2013";"83258700"
"Strømsnes";"27.0";"54.0";"Rv80";"67.29902";"15.19273";"Ja";"AutoPASS + automatisk";"1841";"296994218";"3500";"10";"2013";"374501233"
"Vikan";"21.0";"42.0";"Rv80";"67.30319";"14.70377";"Ja";"AutoPASS + automatisk";"1804";"484687985";"-9999";"-9999";"-9999";"-9999"
"Pårampe Granfoss fra Fornebu";"15.5";"46.5";"Rv150";"59.90923";"10.62775";"Ja";"AutoPASS + automatisk";"0219";"209148814";"2500";"8";"2013";"83258582"
"Pårampe Granfoss fra Fornebu";"15.5";"46.5";"Rv150";"59.90923";"10.62775";"Ja";"AutoPASS + automatisk";"0219";"209148814";"2500";"8";"2013";"83258582"
"Store ringvei v/ Gaustad";"31.0";"93.0";"Rv150";"59.94661";"10.72063";"Ja";"AutoPASS + automatisk";"0301";"209148807";"61400";"7";"2013";"86338232"
"Rampe Store ringvei v/Gaustad";"31.0";"93.0";"Rv150";"59.94638";"10.72054";"Ja";"AutoPASS + automatisk";"0301";"86584261";"4000";"10";"2013";"237419804"
"Østre Akervei";"31.0";"93.0";"Rv163";"59.94015";"10.85177";"Ja";"AutoPASS + automatisk";"0301";"86574500";"25000";"13";"2013";"237419811"
"Solasplitten";"20.0";"50.0";"Rv509";"58.89626";"5.65662";"Ja";"AutoPASS + automatisk";"1124";"439126427";"15800";"8";"2013";"489253701"
"Solasplitten";"20.0";"50.0";"Rv509";"58.89626";"5.65662";"Ja";"AutoPASS + automatisk";"1124";"439126427";"15800";"8";"2013";"489253701"
"Hafrsfjord";"20.0";"50.0";"Rv509";"58.96106";"5.61108";"Ja";"Har autopass";"1103";"79813788";"-9999";"-9999";"-9999";"-9999"
"Hafrsfjord";"20.0";"50.0";"Rv509";"58.96106";"5.61108";"Ja";"Har autopass";"1103";"79813788";"-9999";"-9999";"-9999";"-9999"
"Gravdal";"25.0";"50.0";"Rv555";"60.38085";"5.26845";"Ja";"AutoPASS + automatisk";"1201";"82559833";"38700";"8";"2013";"159616923"
"Gravdal";"25.0";"50.0";"Rv555";"60.38085";"5.26845";"Ja";"AutoPASS + automatisk";"1201";"82559833";"38700";"8";"2013";"159616923"
"Gyldenpris";"25.0";"50.0";"Rv555";"60.38173";"5.31546";"Ja";"AutoPASS + automatisk";"1201";"82483423";"4200";"11";"2013";"81876506"
"Gyldenpris";"25.0";"50.0";"Rv555";"60.38173";"5.31546";"Ja";"AutoPASS + automatisk";"1201";"82483423";"4200";"11";"2013";"81876506"
"Bjørndal";"10.0";"20.0";"Rv706";"63.39424";"10.38451";"Ja";"AutoPASS + automatisk";"1601";"264832265";"9000";"11";"2013";"84802368"
"Bjørndal";"10.0";"20.0";"Rv706";"63.39424";"10.38451";"Ja";"AutoPASS + automatisk";"1601";"264832265";"9000";"11";"2013";"84802368"
"E6/Rv706";"8.0";"24.0";"Rv706";"63.43126";"10.48050";"Ja";"AutoPASS + automatisk";"1601";"487458627";"-9999";"-9999";"-9999";"-9999"
"Sluppen";"10.0";"20.0";"Rv706";"63.39646";"10.38823";"Ja";"AutoPASS + automatisk";"1601";"264832266";"11800";"10";"2013";"84802304"
"Sluppen";"10.0";"20.0";"Rv706";"63.39646";"10.38823";"Ja";"AutoPASS + automatisk";"1601";"264832266";"11800";"10";"2013";"84802304"
"Sødal";"14.0";"28.0";"Fv1";"58.17537";"7.97217";"Ja";"AutoPASS + automatisk";"1001";"275436927";"5200";"7";"2013";"85800692"
"Fv7 KJEPSO";"43.0";"86.0";"Fv7";"60.44380";"6.48654";"Ja";"AutoPASS + automatisk";"1238";"271705787";"750";"15";"2013";"81877787"
"Rv7 STEINSDALEN";"43.0";"86.0";"Fv7";"60.36272";"6.07118";"Ja";"AutoPASS + automatisk";"1238";"271705786";"1700";"13";"2013";"81877782"
"Østbyen";"18.0";"36.0";"Fv17";"64.46993";"11.52081";"Ja";"AutoPASS + automatisk";"1703";"114286494";"-9999";"-9999";"-9999";"-9999"
"Skålbones";"21.0";"42.0";"Fv17";"67.24139";"14.71436";"Ja";"AutoPASS + automatisk";"1804";"255990112";"2700";"10";"2013";"88710440"
"Fv 34 Grime";"27.0";"54.0";"Fv34";"60.56063";"10.33270";"Ja";"AutoPASS + automatisk";"0536";"440646103";"1785";"9";"2013";"90354863"
"Kollevoll";"25.0";"50.0";"Fv43";"58.11265";"6.94131";"Ja";"AutoPASS + automatisk";"1032";"319668381";"3500";"9";"2013";"85800841"
"Kåsen";"20.0";"50.0";"Fv44";"58.74225";"5.63786";"Ja";"Har autopass";"1120";"79863637";"17900";"8";"2013";"79294629"
"Skjæveland";"20.0";"50.0";"Fv44";"58.80353";"5.68020";"Ja";"Har autopass";"1120";"79863713";"18500";"8";"2013";"79295996"
"Forusveien";"20.0";"50.0";"Fv44";"58.88976";"5.73108";"Ja";"Har autopass";"1103";"79814251";"11500";"7";"2013";"276563952"
"Fv 45 Gjesdal";"48.0";"85.0";"Fv45";"58.83026";"6.46538";"Ja";"Har autopass";"1122";"79786595";"1100";"7";"2013";"323613863"
